year,month,seaice_extent
1985,1,503097.23
1985,2,503097.23
1985,3,503097.23
1985,4,503097.23
1985,5,503097.23
1985,6,503097.23
1985,7,461383.16
1985,8,376097.05
1985,9,369190.64
1985,10,444005.11
1985,11,503097.23
1985,12,503097.23
1986,1,503097.23
1986,2,503097.23
1986,3,503097.23
1986,4,503097.23
1986,5,503097.23
1986,6,456000.18
1986,7,399453.58
1986,8,292193.25
1986,9,197506.92
1986,10,398315.43
1986,11,486565.74
1986,12,503097.23
1987,1,503097.23
1987,2,503097.23
1987,3,503097.23
1987,4,503097.23
1987,5,503097.23
1987,6,500015.39
1987,7,369397.45
1987,8,199640.9
1987,9,233836.46
1987,10,262689.5
1987,11,503097.23
1987,12,
1988,1,
1988,2,503097.23
1988,3,503097.23
1988,4,503097.23
1988,5,503097.23
1988,6,502489.56
1988,7,442243.77
1988,8,395583.43
1988,9,410005.63
1988,10,428497.92
1988,11,503097.23
1988,12,503097.23
1989,1,503097.23
1989,2,503097.23
1989,3,503097.23
1989,4,503097.23
1989,5,503097.23
1989,6,453252.61
1989,7,377925.5
1989,8,254429.74
1989,9,166080.35
1989,10,367101.17
1989,11,503097.23
1989,12,503097.23
1990,1,503097.23
1990,2,503097.23
1990,3,503097.23
1990,4,503097.23
1990,5,503097.23
1990,6,476075.79
1990,7,370418.9
1990,8,255182.09
1990,9,159703.23
1990,10,307787.34
1990,11,502486.81
1990,12,503097.23
1991,1,503097.23
1991,2,503097.23
1991,3,503097.23
1991,4,503097.23
1991,5,503097.23
1991,6,499351.52
1991,7,393564.12
1991,8,376759.73
1991,9,364128.27
1991,10,371548.14
1991,11,459182.87
1991,12,503097.23
1992,1,503097.23
1992,2,503097.23
1992,3,503097.23
1992,4,503097.23
1992,5,503097.23
1992,6,483533.79
1992,7,418607.1
1992,8,337178.33
1992,9,368583.13
1992,10,380322.16
1992,11,503097.23
1992,12,503097.23
1993,1,503097.23
1993,2,503097.23
1993,3,503097.23
1993,4,503097.23
1993,5,503097.23
1993,6,408390.69
1993,7,340105.37
1993,8,210305.98
1993,9,66341.42
1993,10,260237.03
1993,11,488251.1
1993,12,503097.23
1994,1,503097.23
1994,2,503097.23
1994,3,503097.23
1994,4,503097.23
1994,5,503097.23
1994,6,497602.41
1994,7,436657.59
1994,8,334000.92
1994,9,318342.03
1994,10,430348.64
1994,11,503097.23
1994,12,503097.23
1995,1,503097.23
1995,2,503097.23
1995,3,503097.23
1995,4,503097.23
1995,5,503097.23
1995,6,464177.91
1995,7,392935.28
1995,8,269690.95
1995,9,190188.6
1995,10,396478.17
1995,11,428312.41
1995,12,503097.23
1996,1,503097.23
1996,2,503097.23
1996,3,503097.23
1996,4,503097.23
1996,5,503097.23
1996,6,446496.09
1996,7,374641.43
1996,8,267006.05
1996,9,304793.74
1996,10,380885.27
1996,11,432932.61
1996,12,503097.23
1997,1,503097.23
1997,2,503097.23
1997,3,503097.23
1997,4,503097.23
1997,5,501874.49
1997,6,426601.12
1997,7,367135.52
1997,8,193349.16
1997,9,83519.39
1997,10,240399.78
1997,11,317142.49
1997,12,503097.23
1998,1,503097.23
1998,2,503097.23
1998,3,503097.23
1998,4,503097.23
1998,5,503097.23
1998,6,484217.9
1998,7,263302.98
1998,8,50153.74
1998,9,635.45
1998,10,51877.44
1998,11,458827.61
1998,12,503097.23
1999,1,503097.23
1999,2,503097.23
1999,3,503097.23
1999,4,503097.23
1999,5,503097.23
1999,6,501874.49
1999,7,407908.8
1999,8,213516.69
1999,9,86555.58
1999,10,379840.61
1999,11,503097.23
1999,12,503097.23
2000,1,503097.23
2000,2,503097.23
2000,3,503097.23
2000,4,503097.23
2000,5,503097.23
2000,6,498799.87
2000,7,409793.39
2000,8,320140.95
2000,9,133606.18
2000,10,383556.9
2000,11,466959.1
2000,12,503097.23
2001,1,503097.23
2001,2,503097.23
2001,3,503097.23
2001,4,503097.23
2001,5,503097.23
2001,6,465996.76
2001,7,394748.84
2001,8,353452.83
2001,9,237613.13
2001,10,447228.26
2001,11,503097.23
2001,12,503097.23
2002,1,503097.23
2002,2,503097.23
2002,3,503097.23
2002,4,503097.23
2002,5,503097.23
2002,6,427296.25
2002,7,392922.8
2002,8,207087.66
2002,9,5725.74
2002,10,292622.73
2002,11,450945.47
2002,12,503097.23
2003,1,503097.23
2003,2,503097.23
2003,3,503097.23
2003,4,503097.23
2003,5,500604.24
2003,6,419153.0
2003,7,353875.69
2003,8,91260.76
2003,9,49402.88
2003,10,247861.37
2003,11,429294.59
2003,12,503097.23
2004,1,503097.23
2004,2,503097.23
2004,3,503097.23
2004,4,503097.23
2004,5,503097.23
2004,6,407942.86
2004,7,349600.54
2004,8,78325.3
2004,9,635.45
2004,10,232252.45
2004,11,433725.43
2004,12,503097.23
2005,1,503097.23
2005,2,503097.23
2005,3,503097.23
2005,4,503097.23
2005,5,503097.23
2005,6,409449.53
2005,7,360198.43
2005,8,216415.17
2005,9,148787.72
2005,10,240007.38
2005,11,483438.26
2005,12,503097.23
2006,1,503097.23
2006,2,503097.23
2006,3,503097.23
2006,4,503097.23
2006,5,503097.23
2006,6,485378.95
2006,7,421092.84
2006,8,317626.8
2006,9,197703.62
2006,10,250137.67
2006,11,386919.75
2006,12,503097.23
2007,1,503097.23
2007,2,503097.23
2007,3,503097.23
2007,4,503097.23
2007,5,503097.23
2007,6,440469.84
2007,7,297878.07
2007,8,91503.47
2007,9,13333.07
2007,10,174704.76
2007,11,427139.27
2007,12,503097.23
2008,1,503097.23
2008,2,503097.23
2008,3,503097.23
2008,4,503097.23
2008,5,503097.23
2008,6,475358.31
2008,7,219104.05
2008,8,23469.84
2008,9,0.0
2008,10,296932.14
2008,11,503097.23
2008,12,503097.23
2009,1,503097.23
2009,2,503097.23
2009,3,503097.23
2009,4,503097.23
2009,5,503097.23
2009,6,468131.92
2009,7,295534.1
2009,8,105906.86
2009,9,91327.01
2009,10,194071.52
2009,11,498165.33
2009,12,503097.23
2010,1,503097.23
2010,2,503097.23
2010,3,503097.23
2010,4,503097.23
2010,5,503097.23
2010,6,446365.69
2010,7,313641.81
2010,8,61030.07
