year,month,seaice_extent
1985,1,208881.7
1985,2,388001.03
1985,3,502061.98
1985,4,587601.89
1985,5,410001.39
1985,6,105407.52
1985,7,1202.74
1985,8,0.0
1985,9,0.0
1985,10,14957.97
1985,11,75193.78
1985,12,149598.07
1986,1,378912.17
1986,2,455952.04
1986,3,615311.2
1986,4,528706.06
1986,5,302610.75
1986,6,21615.93
1986,7,2406.87
1986,8,0.0
1986,9,0.0
1986,10,4201.81
1986,11,91324.56
1986,12,214661.03
1987,1,338979.39
1987,2,432518.24
1987,3,442372.81
1987,4,386907.98
1987,5,288337.71
1987,6,46695.76
1987,7,17401.28
1987,8,570.14
1987,9,1806.52
1987,10,6518.06
1987,11,99082.71
1987,12,0.0
1988,1,0.0
1988,2,453123.42
1988,3,595882.66
1988,4,626473.17
1988,5,270480.36
1988,6,29062.03
1988,7,8388.46
1988,8,570.14
1988,9,1200.53
1988,10,11229.96
1988,11,192953.08
1988,12,378278.36
1989,1,505490.07
1989,2,388229.7
1989,3,443517.16
1989,4,344402.11
1989,5,100247.36
1989,6,2982.72
1989,7,4208.45
1989,8,570.14
1989,9,1200.53
1989,10,1746.13
1989,11,105318.37
1989,12,278057.73
1990,1,408558.93
1990,2,525388.55
1990,3,558315.07
1990,4,457302.16
1990,5,236181.04
1990,6,3571.56
1990,7,1200.84
1990,8,570.14
1990,9,1200.53
1990,10,1746.13
1990,11,68159.99
1990,12,293558.65
1991,1,442183.92
1991,2,639777.84
1991,3,559691.07
1991,4,533419.94
1991,5,266548.3
1991,6,8988.88
1991,7,3611.06
1991,8,570.14
1991,9,1200.53
1991,10,2353.72
1991,11,91539.05
1991,12,300500.3
1992,1,425438.19
1992,2,500201.24
1992,3,642154.17
1992,4,598941.28
1992,5,374223.75
1992,6,68935.73
1992,7,1806.83
1992,8,570.14
1992,9,1200.53
1992,10,14884.16
1992,11,154944.31
1992,12,343863.41
1993,1,472452.35
1993,2,543415.41
1993,3,506453.28
1993,4,349481.81
1993,5,147538.83
1993,6,1775.37
1993,7,2408.43
1993,8,570.14
1993,9,1200.53
1993,10,1715.55
1993,11,31067.81
1993,12,242035.45
1994,1,397929.54
1994,2,402920.31
1994,3,589685.36
1994,4,541163.02
1994,5,414922.7
1994,6,10714.92
1994,7,3612.03
1994,8,570.14
1994,9,1200.53
1994,10,4678.22
1994,11,167876.7
1994,12,391995.52
1995,1,482839.14
1995,2,606396.35
1995,3,627369.53
1995,4,617875.63
1995,5,240995.53
1995,6,2377.91
1995,7,1802.44
1995,8,570.14
1995,9,1200.53
1995,10,2344.44
1995,11,77207.72
1995,12,281890.18
1996,1,380708.45
1996,2,444359.49
1996,3,373397.25
1996,4,357595.96
1996,5,67612.19
1996,6,3535.09
1996,7,4204.76
1996,8,570.14
1996,9,1200.53
1996,10,5319.56
1996,11,63469.79
1996,12,282152.6
1997,1,439318.33
1997,2,535522.79
1997,3,595506.35
1997,4,524939.85
1997,5,211441.92
1997,6,2377.91
1997,7,3609.29
1997,8,570.14
1997,9,1200.53
1997,10,5289.28
1997,11,50344.95
1997,12,336817.85
1998,1,532710.04
1998,2,624128.08
1998,3,520247.82
1998,4,388862.78
1998,5,250380.45
1998,6,26899.52
1998,7,3007.69
1998,8,570.14
1998,9,1200.53
1998,10,1749.59
1998,11,27426.42
1998,12,239870.21
1999,1,417394.67
1999,2,533260.07
1999,3,583854.28
1999,4,590521.33
1999,5,410900.89
1999,6,73922.63
1999,7,4208.64
1999,8,570.14
1999,9,1200.53
1999,10,2935.45
1999,11,171161.95
1999,12,492557.3
2000,1,666620.71
2000,2,517584.05
2000,3,399250.5
2000,4,430579.75
2000,5,245142.47
2000,6,14983.49
2000,7,3609.23
2000,8,570.14
2000,9,1200.53
2000,10,1749.59
2000,11,15549.39
2000,12,112342.31
2001,1,239713.64
2001,2,182319.2
2001,3,312145.25
2001,4,318883.23
2001,5,273638.61
2001,6,7031.92
2001,7,3010.03
2001,8,570.14
2001,9,1200.53
2001,10,5305.12
2001,11,171011.25
2001,12,396068.52
2002,1,532406.48
2002,2,632967.16
2002,3,475832.07
2002,4,281390.07
2002,5,141144.76
2002,6,2993.03
2002,7,2408.42
2002,8,570.14
2002,9,1200.53
2002,10,2317.57
2002,11,5935.49
2002,12,120825.65
2003,1,311398.7
2003,2,416901.69
2003,3,455097.28
2003,4,303258.69
2003,5,23367.57
2003,6,1204.3
2003,7,1805.4
